09:02:23.792 [main] INFO  com.tyss.demo.baseutil.BaseTest - 
09:02:23.795 [main] INFO  com.tyss.demo.baseutil.BaseTest - Running locally JavaMail
09:02:23.923 [main] INFO  com.tyss.demo.baseutil.BaseTest - Folder creation for Extent
09:02:23.927 [main] INFO  com.tyss.demo.baseutil.BaseTest - ExtentDir:-D:\Demo\Demo/reports/Automation Report- 02_28_2023_09_02_23/Report/02_28_2023_09_02_23
09:02:24.083 [main] INFO  com.tyss.demo.baseutil.BaseTest - Report Initiated
09:02:24.085 [main] INFO  com.tyss.demo.baseutil.BaseTest - Screenshot Folder Created
09:02:42.010 [main] INFO  com.tyss.demo.baseutil.BaseTest - Login To the App
09:02:42.015 [main] INFO  com.tyss.demo.baseutil.BaseTest - Enter the value into User Name Text Box
09:02:42.111 [main] INFO  com.tyss.demo.baseutil.BaseTest - Enter the value into Password Text Box
09:02:42.302 [main] INFO  com.tyss.demo.baseutil.BaseTest - Verify Sign In Button is Clickable or Not
09:03:02.648 [main] INFO  com.tyss.demo.baseutil.BaseTest - Succesfully Logged In
09:03:02.796 [main] INFO  com.tyss.demo.baseutil.BaseTest - Verify Users Tab is Clickable or Not
09:03:06.798 [main] INFO  com.tyss.demo.baseutil.BaseTest - Verify logout is Clickable or Not
